u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
330642881,569680236,0,44923413,True,,Diagonal 39,residential,,False,50.458,"LINESTRING (-75.5841805 6.1714525, -75.584015 6.1710296)",35.0,5.2,,,,,
330642883,330644125,0,1003373100,True,2,Calle 25 Sur,secondary,,False,51.997,"LINESTRING (-75.580663 6.1728514, -75.5804899 6.1724166)",50.0,3.7,,,,,
330642883,569680262,0,375276753,False,,Transversal 34B Sur,residential,,False,88.998,"LINESTRING (-75.580663 6.1728514, -75.5807041 6.1728352, -75.581411 6.1725555)",35.0,9.2,,,,,
330643732,5534298700,0,30028680,False,,Transversal 33A Sur,residential,,False,74.316,"LINESTRING (-75.5848359 6.1731008, -75.5841995 6.1733161)",35.0,7.6,,,,,
330643732,569680247,0,44923413,True,,Diagonal 39,residential,,False,48.261,"LINESTRING (-75.5848359 6.1731008, -75.5846761 6.1726969)",35.0,5.0,,,,,
330644124,9397375449,0,30028731,True,,Diagonal 40,residential,60,False,11.216,"LINESTRING (-75.5846349 6.1707927, -75.5846799 6.1708831)",60.0,0.7,,,,,
330644124,9397375445,0,123730430,True,,Carrera 40,residential,,False,8.21,"LINESTRING (-75.5846349 6.1707927, -75.5846714 6.1707284)",35.0,0.8,,,,,
330644125,569680263,0,30028709,True,,Transversal 34C Sur,residential,,False,89.21600000000001,"LINESTRING (-75.5804899 6.1724166, -75.5805255 6.1724028, -75.5812415 6.1721244)",35.0,9.2,,,,,
330644125,330636782,0,1003373100,True,2,Calle 25 Sur,secondary,,False,55.446,"LINESTRING (-75.5804899 6.1724166, -75.5803728 6.1721246, -75.580355 6.1720361, -75.5803502 6.1719422)",50.0,4.0,,,,,
330644597,330642391,0,320842497,True,2,Carrera 43,tertiary,60,False,81.957,"LINESTRING (-75.5855413 6.1727599, -75.5855413 6.1728503, -75.5855414 6.1731655, -75.5855442 6.1733835, -75.585542 6.1734645, -75.5855418 6.1734969)",60.0,4.9,,,,,
330644600,5534298701,0,43617615,True,2,Transversal 32A Sur,residential,,False,58.68,"LINESTRING (-75.5852529 6.1747363, -75.5851493 6.1747373, -75.5850291 6.1747591, -75.5847384 6.1748509)",35.0,6.0,,,,,
330644600,3270824321,0,152889946,True,2,Carrera 43,tertiary,60,False,65.47399999999999,"LINESTRING (-75.5852529 6.1747363, -75.5851972 6.1750356, -75.5851856 6.1753198)",60.0,3.9,,,,,
330644603,5927555377,0,320525081,True,1,Carrera 43,tertiary,30,False,11.712,"LINESTRING (-75.5852779 6.1765137, -75.5853096 6.1766142)",30.0,1.4,,,,,
330644603,9395455240,0,1018644378,True,,Transversal 31 Sur,residential,,False,7.293,"LINESTRING (-75.5852779 6.1765137, -75.5853433 6.1765051)",35.0,0.8,,,,,
330645151,1656651165,0,739844664,True,3,Carrera 43,tertiary,40,False,61.456,"LINESTRING (-75.5852458 6.1752995, -75.5852522 6.1750463, -75.5853235 6.1747554)",40.0,5.5,,,,,
