u,v,geometry,speed_mps,weigth
330762728,11986525377,"LINESTRING (-75.5932129 6.1724161, -75.5928993 6.172768)",8.3,7.644
338172920,9401024583,"LINESTRING (-75.5778534 6.1796063, -75.577475 6.1808724, -75.5773966 6.1811032, -75.5773589 6.1811563, -75.5772032 6.181233, -75.5771382 6.1812357, -75.5769937 6.1811956)",6.216666666666666,41.279
338172930,4404924390,"LINESTRING (-75.577458 6.1791776, -75.5773638 6.1790905)",6.7,2.573
338172930,3648102735,"LINESTRING (-75.577458 6.1791776, -75.5774331 6.1791788, -75.5774098 6.1791878, -75.5773892 6.1792052)",4.7,2.335
340682850,1838321812,"LINESTRING (-75.5676763 6.176694, -75.5676422 6.1767516, -75.567618 6.1768116, -75.5676046 6.1768756, -75.5675724 6.1769823, -75.5675402 6.1770476, -75.5674901 6.1771157)",3.9,15.377
340682850,1838321779,"LINESTRING (-75.5676763 6.176694, -75.5676408 6.1766223, -75.5676059 6.1765383, -75.5675592 6.1764553, -75.5674802 6.1763352, -75.5673427 6.1761999)",5.8,12.921
340682850,3354552487,"LINESTRING (-75.5676763 6.176694, -75.5677977 6.176753, -75.5679412 6.1768396, -75.5680445 6.1769183, -75.5681465 6.1769877, -75.5682752 6.177053, -75.56847 6.1771316)",6.900000000000001,16.726
340682860,6819378702,"LINESTRING (-75.5726103 6.1780287, -75.5725922 6.1781516, -75.5725615 6.1782871, -75.5725358 6.1783716, -75.5724902 6.1784569, -75.5724467 6.1785056, -75.5723758 6.1785375, -75.5722837 6.1785556, -75.572164 6.1785614, -75.5718948 6.1785676, -75.5717328 6.1785534, -75.5713249 6.1784754, -75.5712359 6.1784534, -75.5710986 6.1784114, -75.5708702 6.1783236, -75.5706556 6.1782325, -75.5704494 6.1781226)",8.387500000000001,49.356
340682860,340682861,"LINESTRING (-75.5726103 6.1780287, -75.5726364 6.1779583, -75.5726603 6.1779027, -75.5726944 6.177835)",5.0,5.76
340682861,9395265168,"LINESTRING (-75.5726944 6.177835, -75.5727209 6.1778427, -75.5727484 6.1778407, -75.5727735 6.1778293, -75.572793 6.1778098, -75.5728044 6.1777848, -75.5728063 6.1777575)",5.8,3.703
340682870,9381641980,"LINESTRING (-75.5771877 6.1797731, -75.5772518 6.1797954)",3.9,2.205
340682870,3648096516,"LINESTRING (-75.5771877 6.1797731, -75.5770159 6.180363, -75.5767474 6.1813, -75.5766793 6.1815346, -75.5766619 6.1816797, -75.5766638 6.1817696, -75.5766832 6.1818852, -75.5767046 6.1819536)",7.985714285714287,42.377
340685171,3648096508,"LINESTRING (-75.5765675 6.1820717, -75.5767793 6.18206)",5.3,5.571
340685951,4404924427,"LINESTRING (-75.5794759 6.1802691, -75.5792942 6.1800946)",4.4,7.718
340685951,340686062,"LINESTRING (-75.5794759 6.1802691, -75.5798176 6.1795806)",6.4,16.298
340685951,2417951905,"LINESTRING (-75.5794759 6.1802691, -75.5798088 6.1806137, -75.5798479 6.1806574)",4.2,17.64
340685953,569680304,"LINESTRING (-75.5808404 6.1816543, -75.5806938 6.1817965, -75.58062 6.1819031, -75.5804471 6.1822396, -75.5802464 6.1826635)",7.2,22.22
340685953,9694411267,"LINESTRING (-75.5808404 6.1816543, -75.5808001 6.1816139, -75.5799041 6.1807171)",5.8,32.87
340686062,340685951,"LINESTRING (-75.5798176 6.1795806, -75.5794759 6.1802691)",6.4,16.298
340686062,340686746,"LINESTRING (-75.5798176 6.1795806, -75.5795613 6.179496, -75.5793619 6.1794301, -75.579293 6.1794109, -75.5792072 6.1794026, -75.5791146 6.1794002, -75.5789875 6.1794069)",4.8500000000000005,26.136
340686062,2417951901,"LINESTRING (-75.5798176 6.1795806, -75.5799521 6.1795899, -75.5801104 6.1795863, -75.5804756 6.1795522)",6.900000000000001,12.877
340686746,5532256383,"LINESTRING (-75.5789875 6.1794069, -75.5790251 6.1792778, -75.5790291 6.1791887, -75.5790147 6.1791063, -75.5789849 6.1790235, -75.5789329 6.1788929, -75.5788848 6.1788032, -75.5788499 6.1787681, -75.5788216 6.1787396, -75.5787274 6.1786792, -75.5786057 6.1786183, -75.5785138 6.1785672, -75.5784528 6.1785076, -75.578417 6.1784336, -75.578405 6.1783418, -75.5784018 6.1782556, -75.5784224 6.178178, -75.5784637 6.1781149)",5.158823529411765,44.682
340686746,4404924400,"LINESTRING (-75.5789875 6.1794069, -75.5788994 6.1794192, -75.5788243 6.1794219, -75.5787492 6.179411, -75.5786372 6.1793799, -75.5785467 6.1793339, -75.5784397 6.1792644, -75.5783354 6.1792139, -75.5782154 6.1791726, -75.5780954 6.1791612, -75.5779365 6.1791839, -75.5778185 6.1792192)",5.0,33.32
