u,v,u_coords,v_coords,distance_m
340682850,1838321779,"(-75.5676763, 6.176694)","(-75.5673427, 6.1761999)",39.695958596416986
340682850,3354552487,"(-75.5676763, 6.176694)","(-75.56847, 6.1771316)",89.42907557582546
340682860,6819378702,"(-75.5726103, 6.1780287)","(-75.5704494, 6.1781226)",241.22226191494894
340682860,340682861,"(-75.5726103, 6.1780287)","(-75.5726944, 6.177835)",10.824563603931477
340682861,9395265168,"(-75.5726944, 6.177835)","(-75.5728063, 6.1777575)",12.675468333955275
340682870,9381641980,"(-75.5771877, 6.1797731)","(-75.5772518, 6.1797954)",7.181930433908077
340682870,3648096516,"(-75.5771877, 6.1797731)","(-75.5767046, 6.1819536)",81.15680508010193
340685171,3648096508,"(-75.5765675, 6.1820717)","(-75.5767793, 6.18206)",23.644194708607166
340685951,4404924427,"(-75.5794759, 6.1802691)","(-75.5792942, 6.1800946)",20.854574385389277
340685951,340686062,"(-75.5794759, 6.1802691)","(-75.5798176, 6.1795806)",42.67803597124357
340685951,2417951905,"(-75.5794759, 6.1802691)","(-75.5798479, 6.1806574)",42.90525673727921
340685953,569680304,"(-75.5808404, 6.1816543)","(-75.5802464, 6.1826635)",71.99924319308687
340685953,9694411267,"(-75.5808404, 6.1816543)","(-75.5799041, 6.1807171)",107.7140275185498
340686062,340685951,"(-75.5798176, 6.1795806)","(-75.5794759, 6.1802691)",42.67803597124357
340686062,340686746,"(-75.5798176, 6.1795806)","(-75.5789875, 6.1794069)",92.7849049866927
340686062,2417951901,"(-75.5798176, 6.1795806)","(-75.5804756, 6.1795522)",73.452833928087
340686746,5532256383,"(-75.5789875, 6.1794069)","(-75.5784637, 6.1781149)",68.6274381296503
340686746,4404924400,"(-75.5789875, 6.1794069)","(-75.5778185, 6.1792192)",130.59281043456227
340686746,340686062,"(-75.5789875, 6.1794069)","(-75.5798176, 6.1795806)",92.7849049866927
340688179,11986724591,"(-75.5827176, 6.1843196)","(-75.5825545, 6.1848687)",23.760113595383686
340688179,8670482307,"(-75.5827176, 6.1843196)","(-75.5839169, 6.1868624)",151.39168449196296
340688209,2946094145,"(-75.5800807, 6.1711629)","(-75.5800583, 6.1720438)",24.62420818731927
340688209,1378848224,"(-75.5800807, 6.1711629)","(-75.579986, 6.1711455)",10.581861054878042
340688650,3924033264,"(-75.5808563, 6.1639473)","(-75.5812743, 6.1639569)",46.65959671924996
340688650,5534334366,"(-75.5808563, 6.1639473)","(-75.5808532, 6.1638868)",1.7175722011409766
340688650,3572367372,"(-75.5808563, 6.1639473)","(-75.5808383, 6.1647415)",22.175938861120287
340688653,1419125272,"(-75.5905885, 6.1694052)","(-75.5901313, 6.1692552)",51.204487534714715
340688653,1417715913,"(-75.5905885, 6.1694052)","(-75.5907692, 6.1691138)",21.735243882515494
340688661,1822477203,"(-75.5970447, 6.1737451)","(-75.5944778, 6.17161)",292.60243237955206
340688661,1815599613,"(-75.5970447, 6.1737451)","(-75.5960403, 6.17447)",113.90920105378211
340688833,3729682988,"(-75.5915682, 6.1707268)","(-75.592129, 6.1701396)",64.69029218924132
340688833,1419125274,"(-75.5915682, 6.1707268)","(-75.5917953, 6.1698511)",35.13852216858116
340688833,1419125243,"(-75.5915682, 6.1707268)","(-75.5918378, 6.1710863)",31.708503299774065
340688874,3729682988,"(-75.5925171, 6.1697565)","(-75.592129, 6.1701396)",44.60994835580753
340688874,1419125257,"(-75.5925171, 6.1697565)","(-75.5915111, 6.1688632)",115.00444510756888
340689030,340689098,"(-75.5922305, 6.1713204)","(-75.5926154, 6.1715497)",43.433955670771596
340689069,1819429758,"(-75.5935598, 6.1699789)","(-75.5927746, 6.1707839)",90.45603731237796
340689069,1822092119,"(-75.5935598, 6.1699789)","(-75.5928688, 6.170026)",77.14336589784153
340689098,340689162,"(-75.5926154, 6.1715497)","(-75.5929889, 6.1717724)",42.14828366870203
340689143,3505595302,"(-75.5938301, 6.1702677)","(-75.5936908, 6.1704233)",16.1390119545189
340689143,340689069,"(-75.5938301, 6.1702677)","(-75.5935598, 6.1699789)",31.220684158512125
340689162,1819429760,"(-75.5929889, 6.1717724)","(-75.5933842, 6.1713669)",45.54065217994283
340689162,3505588364,"(-75.5929889, 6.1717724)","(-75.5937252, 6.1716924)",82.21888901330423
340689198,3505588359,"(-75.5940842, 6.170666)","(-75.5945403, 6.1701986)",52.541672222510385
340689198,340689143,"(-75.5940842, 6.170666)","(-75.5938301, 6.1702677)",30.445896867346924
340689574,1825621040,"(-75.5911647, 6.1687206)","(-75.5912575, 6.1682342)",17.029004339993826
340689574,3291783882,"(-75.5911647, 6.1687206)","(-75.5901542, 6.1686821)",112.80122044493994
340689574,1419125257,"(-75.5911647, 6.1687206)","(-75.5915111, 6.1688632)",38.86909678927155
340689901,569680235,"(-75.5842181, 6.1704553)","(-75.5838441, 6.1705919)",41.91976600961646
340689901,330644124,"(-75.5842181, 6.1704553)","(-75.5846349, 6.1707927)",47.461037351066445
340690118,340689901,"(-75.5839466, 6.1702621)","(-75.5842181, 6.1704553)",30.778226060927892
340690118,1378816142,"(-75.5839466, 6.1702621)","(-75.5837961, 6.1704718)",17.78228758802403
340690122,330648332,"(-75.5861071, 6.1716355)","(-75.5855885, 6.1724773)",62.43898756791483
340690122,1378816127,"(-75.5861071, 6.1716355)","(-75.5853398, 6.1711802)",86.57922670861305
340690124,1657886266,"(-75.5866946, 6.1719765)","(-75.5870897, 6.1713244)",47.68219035320383
340690124,340690122,"(-75.5866946, 6.1719765)","(-75.5861071, 6.1716355)",66.26062111902927
340690125,340690124,"(-75.5873966, 6.1724041)","(-75.5866946, 6.1719765)",79.25634732625053
340690125,327431102,"(-75.5873966, 6.1724041)","(-75.5867635, 6.1733128)",75.04732793938418
340690351,340690781,"(-75.5877473, 6.1744865)","(-75.5881766, 6.1747927)",48.67007532315224
340690351,1819429774,"(-75.5877473, 6.1744865)","(-75.5880287, 6.174062)",33.55383545983035
340690368,4072515363,"(-75.5894394, 6.1727497)","(-75.5892295, 6.1730909)",25.276016599061123
340690368,330634175,"(-75.5894394, 6.1727497)","(-75.589809, 6.1721223)",44.78944929590846
340690671,1379564597,"(-75.5832539, 6.1688331)","(-75.5825843, 6.1691716)",75.33365205887814
340690671,1378816135,"(-75.5832539, 6.1688331)","(-75.5829724, 6.1683677)",33.98214606697758
340690672,1378816130,"(-75.58651, 6.1709768)","(-75.5857472, 6.1705171)",86.1003651680286
340690672,340690122,"(-75.58651, 6.1709768)","(-75.5861071, 6.1716355)",48.557773963486966
340690685,1673477107,"(-75.5886, 6.1722458)","(-75.5881981, 6.172892)",48.323238241969584
340690685,1825621046,"(-75.5886, 6.1722458)","(-75.5889472, 6.1724429)",39.141099906429126
340690713,340690685,"(-75.5882212, 6.1720195)","(-75.5886, 6.1722458)",42.748427962004
340690713,1673477104,"(-75.5882212, 6.1720195)","(-75.5878303, 6.1726715)",47.247302745660505
340690751,1847533110,"(-75.5871357, 6.1740557)","(-75.5873085, 6.1741863)",19.627254116890665
340690751,1847533112,"(-75.5871357, 6.1740557)","(-75.5869518, 6.1739432)",20.76447273963307
340690781,1847533095,"(-75.5881766, 6.1747927)","(-75.5879909, 6.1751355)",22.81342097005826
340690781,3914597784,"(-75.5881766, 6.1747927)","(-75.5882798, 6.1746228)",12.449891445568799
340691002,330648893,"(-75.5882104, 6.1758557)","(-75.5883123, 6.1754486)",16.043769234648238
340691002,330648895,"(-75.5882104, 6.1758557)","(-75.588441, 6.1767271)",35.3432064404611
340691206,567923568,"(-75.590962, 6.1755207)","(-75.5908101, 6.1757779)",18.400503742722645
340691206,1430586174,"(-75.590962, 6.1755207)","(-75.5902504, 6.1750325)",80.58194224948089
340692128,340689069,"(-75.5943024, 6.1691319)","(-75.5935598, 6.1699789)",86.16759089959729
340692128,340692239,"(-75.5943024, 6.1691319)","(-75.5946667, 6.1694087)",41.38540195288812
340692128,1419127576,"(-75.5943024, 6.1691319)","(-75.5944615, 6.168693)",21.54246806973594
340692239,3505588360,"(-75.5946667, 6.1694087)","(-75.5942278, 6.1698797)",50.70920336060474
340692239,5497077565,"(-75.5946667, 6.1694087)","(-75.59499, 6.1697442)",37.27227817745068
340692305,3505588362,"(-75.5950566, 6.1698093)","(-75.5953026, 6.1700709)",28.404944867017125
340692305,1822477201,"(-75.5950566, 6.1698093)","(-75.595776, 6.1699087)",80.34986801056574
340692501,5459991639,"(-75.5930125, 6.1686073)","(-75.5934919, 6.1687435)",53.6462369713912
340692501,5459991637,"(-75.5930125, 6.1686073)","(-75.5930374, 6.1685413)",3.3298703677923376
340692504,3501089982,"(-75.5901511, 6.1678944)","(-75.5902415, 6.1679566)",10.237793611846783
340692504,327431106,"(-75.5901511, 6.1678944)","(-75.5895573, 6.1690531)",73.69023434889374
343600059,9381381592,"(-75.5358764, 6.1543901)","(-75.5376772, 6.1541549)",201.1187557026586
343600059,2351691902,"(-75.5358764, 6.1543901)","(-75.537089, 6.15473)",135.6863419808467
343600134,343600136,"(-75.5467866, 6.1565577)","(-75.546669, 6.1568385)",15.282984523670583
343600136,414932040,"(-75.546669, 6.1568385)","(-75.5468747, 6.1569954)",23.37372366843423
343600136,343600197,"(-75.546669, 6.1568385)","(-75.5462088, 6.1710324)",398.9396203804315
343600197,343600199,"(-75.5462088, 6.1710324)","(-75.5466014, 6.1716629)",47.21574821677943
343600199,344790696,"(-75.5466014, 6.1716629)","(-75.5468575, 6.1715708)",28.70184608533832
344790696,344790699,"(-75.5468575, 6.1715708)","(-75.5464385, 6.1708928)",50.44371722875006
344790699,343600197,"(-75.5464385, 6.1708928)","(-75.5462088, 6.1710324)",25.933520301507617
344790699,344794225,"(-75.5464385, 6.1708928)","(-75.5466697, 6.1597034)",312.9393300423783
344794072,343600134,"(-75.5470016, 6.1565171)","(-75.5467866, 6.1565577)",24.025753726158058
344794072,6067835423,"(-75.5470016, 6.1565171)","(-75.5457982, 6.1519507)",185.04980742949624
344794225,3736152064,"(-75.5466697, 6.1597034)","(-75.5465755, 6.1577902)",54.35169430835722
344794225,9380890996,"(-75.5466697, 6.1597034)","(-75.5482404, 6.1601662)",175.80113612740598
344794487,414933975,"(-75.5358204, 6.1542861)","(-75.5331256, 6.1532927)",302.07687758200143
344794487,440763912,"(-75.5358204, 6.1542861)","(-75.5358666, 6.1541094)",7.133424903962901
344794490,9381732252,"(-75.5373037, 6.1541354)","(-75.5369379, 6.1541974)",40.86850522613384
344794490,9381732249,"(-75.5373037, 6.1541354)","(-75.5372219, 6.1539342)",10.717260609086148
414932040,344794072,"(-75.5468747, 6.1569954)","(-75.5470016, 6.1565171)",19.45153740897081
414933975,414933985,"(-75.5331256, 6.1532927)","(-75.5329988, 6.1531822)",14.485679304411917
414933985,414934002,"(-75.5329988, 6.1531822)","(-75.5327602, 6.1532948)",26.817991621933608
414933985,414938749,"(-75.5329988, 6.1531822)","(-75.5327093, 6.1530217)",32.62375682795786
414934002,414934006,"(-75.5327602, 6.1532948)","(-75.5327454, 6.1533933)",3.206334380453067
414934006,414934267,"(-75.5327454, 6.1533933)","(-75.532865, 6.1535543)",14.085513447426676
414934006,309313473,"(-75.5327454, 6.1533933)","(-75.5312969, 6.1544541)",164.37306800319615
414934267,414934269,"(-75.532865, 6.1535543)","(-75.5330356, 6.1535477)",19.04386691385536
414934269,414933975,"(-75.5330356, 6.1535477)","(-75.5331256, 6.1532927)",12.309834901882363
